EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,Mean_In_Time,Mean_Out_Time,Mean_Duration_Hours,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married
953,2.0,2.0,3.0,33,3,3,1,3,0.6846208147582864,1.0,11,8,0,14.0,0,14,2,13,3,3,10.003055555555555,17.728888888888886,7.725944890673806,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
954,3.0,4.0,2.0,37,13,3,1,1,1.1476117968853117,1.0,12,8,1,6.0,4,6,1,3,3,3,9.9925,16.510555555555555,6.51797634984382,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
955,2.0,4.0,3.0,34,7,2,1,1,-0.919168048525232,1.0,13,8,0,10.0,5,10,8,7,3,3,9.966944444444444,17.00638888888889,7.039463409192325,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
956,3.0,4.0,3.0,23,12,2,1,2,0.2171677809448602,1.0,14,8,2,3.0,2,3,0,2,3,3,10.00388888888889,19.18888888888889,9.184901829540385,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
957,3.0,4.0,3.0,44,1,3,1,1,-0.3546122708696533,1.0,14,8,0,9.0,1,8,6,7,4,3,10.012222222222222,18.44388888888889,8.431588576528336,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
958,1.0,4.0,4.0,35,13,3,1,3,-0.9478526665092378,0.0,16,8,0,6.0,2,5,1,4,3,3,9.974166666666667,18.046944444444446,8.072666220437304,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
959,4.0,4.0,3.0,43,25,4,1,2,-0.9100314665006969,1.0,11,8,0,10.0,2,10,8,8,1,3,10.016666666666667,18.061944444444446,8.045036813922357,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
960,3.0,3.0,3.0,24,6,3,1,3,-1.1582065317252797,1.0,13,8,0,5.0,3,5,0,4,3,3,10.023333333333333,16.743333333333336,6.7198493975903615,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
961,4.0,3.0,3.0,41,6,4,1,1,-0.7823317968089383,1.0,17,8,0,10.0,3,10,8,7,3,3,10.00611111111111,17.010833333333334,7.00475234270415,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
962,4.0,3.0,3.0,29,2,2,1,2,2.7057177500461544,9.0,11,8,1,9.0,2,5,1,2,3,3,9.977500000000001,17.81861111111111,7.841043061133423,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
963,3.0,4.0,2.0,36,1,4,1,3,-0.5090842506798173,3.0,11,8,1,17.0,2,13,6,7,1,3,10.022222222222224,16.340277777777775,6.318020972780009,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
964,3.0,3.0,2.0,45,2,3,1,2,0.4022366866046303,3.0,15,8,2,25.0,3,23,14,4,2,3,10.001111111111111,16.32027777777778,6.319269299419902,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
965,4.0,3.0,3.0,24,6,2,1,2,-0.955289419319906,1.0,12,8,0,1.0,2,1,0,0,2,3,9.97888888888889,16.3775,6.398708165997323,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
966,3.0,3.0,1.0,47,1,3,1,2,2.788584424222171,7.0,11,8,2,25.0,1,23,14,10,3,3,10.00611111111111,16.78805555555556,6.7819210174029445,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
967,4.0,3.0,4.0,26,9,1,1,1,0.8888127990740602,1.0,14,8,1,3.0,2,3,0,2,3,3,9.992222222222221,17.69361111111111,7.701296296296297,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
968,4.0,2.0,3.0,45,1,4,1,1,-0.7566218799491998,1.0,22,8,1,21.0,4,21,8,6,3,4,9.985277777777776,16.560277777777777,6.575176260597948,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
969,1.0,3.0,2.0,32,1,1,1,2,0.5004018237054497,6.0,16,8,1,10.0,2,5,1,3,3,3,9.993055555555555,16.892777777777777,6.899817045961624,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
970,2.0,3.0,4.0,31,14,2,1,1,2.17855821509565,1.0,11,8,2,6.0,5,5,0,3,3,3,9.986944444444443,17.153333333333332,7.166347612672913,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
971,3.0,2.0,3.0,41,2,2,1,2,0.9126104080681983,6.0,14,8,2,10.0,5,3,1,2,1,3,10.008333333333333,17.675833333333333,7.667689647478804,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
972,2.0,1.0,3.0,40,22,2,1,1,-0.8881461653721593,2.0,16,8,1,18.0,2,1,0,0,3,3,10.021944444444445,19.67361111111111,9.651533913431503,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
973,2.0,1.0,4.0,24,3,3,1,1,-1.080864302494331,1.0,15,8,1,6.0,3,6,1,2,2,3,9.976111111111111,16.008333333333333,6.032391789379742,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
974,3.0,2.0,3.0,46,6,3,1,4,-0.4011450955992626,6.0,12,8,0,19.0,3,10,0,9,2,3,9.985555555555555,17.54138888888889,7.555991744756805,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
975,4.0,3.0,3.0,35,8,4,1,1,-0.8588241114329535,2.0,20,8,1,17.0,4,7,0,7,3,4,9.997222222222222,17.323888888888888,7.326545069165551,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
976,2.0,4.0,2.0,30,9,4,1,1,0.4715047270697107,1.0,17,8,1,10.0,3,10,0,8,3,3,9.985833333333332,17.210277777777776,7.224436635430612,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
977,3.0,2.0,1.0,47,3,2,1,2,-0.5413810057432904,7.0,12,8,1,4.0,5,1,0,0,3,3,10.030000000000001,17.66361111111111,7.633643462739848,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
978,3.0,4.0,2.0,46,1,4,1,3,0.7339158619604295,4.0,20,8,0,13.0,1,10,0,3,3,4,10.006666666666666,19.578888888888887,9.572099509147701,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
979,2.0,1.0,3.0,36,1,3,1,2,-0.6644061450969149,5.0,20,8,0,16.0,3,2,2,2,3,4,10.028055555555556,20.25777777777778,10.229715528781794,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
980,1.0,2.0,3.0,32,26,3,1,2,0.49296507089478164,6.0,13,8,2,10.0,3,0,0,0,3,3,10.008888888888889,17.01833333333333,7.0096162427487725,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
981,3.0,2.0,1.0,23,6,4,1,3,0.8114705698431115,1.0,14,8,2,3.0,2,3,1,2,3,3,9.988888888888889,16.059444444444445,6.070717313699241,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
982,4.0,4.0,2.0,31,3,3,1,2,-0.3998702236888623,2.0,18,8,1,9.0,3,5,1,4,3,3,10.018055555555556,16.493055555555557,6.475150602409639,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
983,4.0,4.0,3.0,39,3,3,1,2,0.9504316080767391,1.0,11,8,0,9.0,3,9,5,8,2,3,9.991388888888888,20.159444444444443,10.168099062918339,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
984,4.0,3.0,1.0,32,6,3,1,1,-0.6040622080046362,3.0,11,8,2,10.0,0,4,0,2,2,3,10.003333333333334,17.58138888888889,7.578133645693887,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
985,2.0,2.0,2.0,40,6,3,1,3,0.8454671541204516,1.0,11,8,1,21.0,6,21,12,8,2,3,9.985833333333332,17.866944444444446,7.881102186523873,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
986,3.0,3.0,4.0,45,19,4,1,1,0.13090144834110973,4.0,15,8,0,9.0,2,5,0,3,3,3,10.005833333333333,17.753055555555555,7.74727576974565,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
987,4.0,1.0,3.0,30,9,3,1,1,0.6542363675604137,0.0,12,8,1,10.0,2,9,0,7,3,3,10.0,16.255,6.2550234270414995,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
988,1.0,4.0,3.0,24,3,4,1,1,-0.42388031133473375,0.0,11,8,1,3.0,5,2,2,1,3,3,10.011944444444444,16.0175,6.005610218652388,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
989,3.0,4.0,2.0,30,10,3,1,1,-0.9127936889732308,6.0,14,8,0,6.0,4,4,1,2,3,3,9.985833333333332,16.7,6.714361892012494,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
990,1.0,3.0,3.0,31,3,2,1,3,0.26625034949526993,1.0,15,8,2,6.0,3,5,0,2,4,3,10.007222222222222,17.552222222222223,7.544863900044622,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
991,3.0,4.0,2.0,27,3,3,1,1,0.04059802135442514,1.0,13,8,1,6.0,2,6,1,4,2,3,10.002222222222223,16.347777777777775,6.34539379741187,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
992,2.0,2.0,3.0,29,4,3,1,5,-0.5974753698009015,1.0,13,8,0,2.0,3,2,2,2,3,3,9.991666666666665,16.80638888888889,6.814726684515842,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
993,4.0,3.0,4.0,29,8,4,1,1,-0.876672318178557,8.0,21,8,1,10.0,2,3,0,2,3,4,10.012777777777778,18.750555555555554,8.737783355644801,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
994,3.0,1.0,3.0,30,7,3,1,3,-0.890270951889493,2.0,11,8,0,12.0,5,7,1,7,3,3,9.978055555555555,17.924444444444447,7.946431280678269,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
995,4.0,4.0,3.0,34,1,2,1,2,2.371701309521288,0.0,11,8,0,6.0,5,5,1,2,2,3,9.996388888888887,19.782777777777778,9.786292949576083,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
996,4.0,2.0,2.0,33,2,4,1,1,-0.8301394934489478,8.0,14,8,1,13.0,4,11,1,7,3,3,10.017222222222223,17.35666666666667,7.339277108433735,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
997,4.0,4.0,4.0,49,3,4,1,1,-0.3771350079533911,3.0,11,8,1,8.0,4,5,0,4,3,3,9.975555555555555,17.655555555555555,7.6802320392681835,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
998,1.0,1.0,2.0,33,10,3,1,1,-0.4676509135918091,2.0,13,8,0,11.0,3,0,0,0,1,3,9.994166666666667,18.12611111111111,8.13183511825078,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
999,3.0,2.0,2.0,38,28,3,1,1,-0.7487601698350649,4.0,12,8,1,9.0,3,6,0,5,3,3,10.00361111111111,17.86722222222222,7.863504016064257,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1000,1.0,3.0,3.0,31,9,4,1,2,2.205967961169255,2.0,14,8,2,10.0,2,1,0,0,3,3,9.964444444444444,16.175833333333333,6.211388888888888,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1001,4.0,1.0,3.0,29,3,4,1,2,-0.1933409742040213,1.0,13,8,1,1.0,3,1,0,0,3,3,9.97638888888889,16.323055555555555,6.3466744756805,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1002,3.0,3.0,3.0,30,2,1,1,1,0.8376054440063168,3.0,18,8,1,10.0,3,7,1,7,3,3,9.998888888888889,16.822777777777777,6.823949129852744,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
1003,2.0,2.0,3.0,32,10,4,1,1,0.47532934280091144,2.0,11,8,1,12.0,2,7,0,7,3,3,10.003055555555555,16.084444444444443,6.08121709058456,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1004,2.0,4.0,3.0,38,8,2,1,1,-0.8475627428910846,3.0,11,8,0,15.0,2,1,1,0,2,3,10.011111111111111,18.88861111111111,8.877421909861669,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1005,3.0,3.0,3.0,43,1,4,1,3,0.244790005670199,9.0,12,8,1,6.0,3,1,0,0,3,3,9.991666666666665,18.328888888888887,8.337201026327532,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1006,2.0,2.0,2.0,42,1,3,1,1,2.329205579174613,8.0,13,8,1,7.0,3,5,0,4,3,3,9.995,16.679722222222225,6.684743418116913,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1007,3.0,1.0,3.0,55,3,2,1,1,0.18019649554325287,8.0,20,8,1,34.0,3,1,0,0,3,4,9.978055555555555,17.545,7.567053770638108,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1008,4.0,2.0,2.0,33,14,3,1,1,0.9172849384063325,5.0,12,8,0,11.0,2,9,1,7,3,3,9.975555555555555,16.691666666666666,6.716213743864346,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1009,3.0,1.0,3.0,41,5,3,1,1,1.2039186395946562,1.0,19,8,0,5.0,2,5,0,4,3,3,9.969166666666666,16.247222222222224,6.278027666220437,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1010,4.0,3.0,3.0,34,7,4,1,1,2.7883719455704377,1.0,21,8,0,15.0,5,15,0,7,2,4,9.999722222222221,18.121111111111112,8.12113453815261,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1011,1.0,3.0,2.0,53,10,4,1,2,-0.9419032642607033,4.0,13,8,2,27.0,2,3,0,2,4,3,9.995277777777776,18.016944444444444,8.021699018295404,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1012,2.0,4.0,3.0,43,16,2,1,1,0.059296142706962186,0.0,16,8,1,10.0,2,9,1,8,3,3,10.014166666666666,16.143333333333334,6.129012717536814,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1013,4.0,4.0,3.0,34,10,2,1,5,0.2711373584851376,5.0,12,8,1,6.0,2,2,2,2,3,3,10.023611111111112,17.703611111111112,7.680007809013833,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1014,2.0,2.0,3.0,21,1,2,1,5,-0.7887061563609395,1.0,14,8,0,1.0,3,1,1,0,4,3,9.986388888888888,17.43722222222222,7.450802097278001,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1015,4.0,3.0,3.0,38,8,2,1,2,-0.7015899091502555,1.0,11,8,1,5.0,3,5,0,4,2,3,10.00611111111111,16.41777777777778,6.411571842927264,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1016,3.0,1.0,3.0,22,1,3,1,4,-0.32614013153738103,1.0,14,8,0,1.0,3,1,0,0,3,3,10.0,18.83222222222222,8.83219098616689,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1017,1.0,4.0,3.0,31,8,5,1,5,1.4059858373930965,1.0,12,8,2,13.0,6,12,5,7,2,3,9.993333333333332,17.251944444444444,7.258656849620705,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1018,1.0,3.0,3.0,51,1,4,1,1,-0.5248076709080871,2.0,14,8,0,15.0,2,2,2,2,3,3,10.003055555555555,16.733333333333334,6.730156180276663,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1019,2.0,2.0,3.0,37,24,1,1,2,-0.6824668304942517,1.0,16,8,3,5.0,2,5,0,3,2,3,9.982777777777779,17.928333333333335,7.945401606425703,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1020,3.0,4.0,3.0,46,3,4,1,1,-0.4740252731438104,7.0,13,8,0,24.0,3,2,2,2,4,3,10.006666666666666,19.97611111111111,9.969680946006248,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1021,4.0,1.0,3.0,36,27,3,1,4,-0.30744201018484396,7.0,12,8,0,15.0,2,12,5,7,2,3,9.99611111111111,19.441111111111113,9.445140562248996,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1022,3.0,2.0,2.0,44,10,4,1,1,-0.7774447878190706,1.0,12,8,0,6.0,2,5,2,3,4,3,9.990277777777777,19.080555555555556,9.09029228023204,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1023,3.0,2.0,2.0,37,19,2,1,2,-0.8074042777134766,2.0,14,8,0,19.0,2,10,4,7,3,3,9.969166666666666,16.15861111111111,6.189242525658189,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1024,3.0,4.0,3.0,35,15,4,1,2,-0.9771747204484436,1.0,22,8,1,10.0,4,10,7,7,3,4,9.98611111111111,18.431944444444447,8.445867916108881,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1025,4.0,1.0,3.0,33,8,5,1,2,0.3656903585064897,6.0,19,8,0,14.0,3,10,7,6,3,3,10.002777777777778,17.979444444444443,7.976910977242302,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1026,3.0,4.0,4.0,28,9,3,1,2,-0.36906081918752287,1.0,12,8,0,5.0,3,5,0,3,3,3,9.997777777777777,17.3375,7.339841588576528,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1027,3.0,3.0,3.0,39,3,4,1,2,-0.8271647923246804,7.0,12,8,0,9.0,2,4,2,2,2,3,10.0175,16.91111111111111,6.893422579205712,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1028,2.0,2.0,3.0,46,9,2,1,2,-0.1640189202648155,8.0,17,8,0,6.0,2,2,2,2,3,3,10.00361111111111,16.698611111111113,6.695136099955377,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1029,3.0,1.0,2.0,40,2,2,1,1,-0.8422507765977502,4.0,12,8,1,7.0,3,4,0,2,3,3,10.030277777777778,16.643333333333334,6.613062248995984,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1030,2.0,1.0,2.0,42,7,4,1,2,-0.16763105734428288,5.0,11,8,0,10.0,2,0,0,0,3,3,10.026944444444446,16.635833333333334,6.609107541276216,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1031,2.0,4.0,3.0,35,10,1,1,2,-0.4631888619054082,2.0,18,8,3,15.0,3,7,1,7,3,3,9.997222222222222,16.66777777777778,6.670643685854529,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1032,1.0,2.0,3.0,38,6,4,1,3,0.17700931576725223,5.0,11,8,0,13.0,3,11,3,8,3,3,9.991666666666665,17.76888888888889,7.77718875502008,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1033,4.0,1.0,2.0,34,2,1,1,1,1.4865152464000457,4.0,23,8,2,11.0,2,7,0,7,4,4,9.982777777777779,17.790000000000003,7.806963409192325,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1034,4.0,1.0,1.0,37,24,3,1,1,1.54154721719899,1.0,11,8,1,10.0,5,10,0,8,3,3,9.9825,16.200833333333332,6.218380187416332,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1035,3.0,4.0,3.0,39,2,1,1,2,-0.28640662366323977,2.0,18,8,1,7.0,3,2,2,2,2,3,9.991666666666665,16.21861111111111,6.226957831325302,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1036,1.0,3.0,2.0,43,8,5,1,3,-0.9019572777348287,4.0,18,8,0,7.0,2,3,1,2,3,3,9.995,17.359166666666667,7.364364123159304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1037,2.0,2.0,1.0,41,3,3,1,3,-0.6174483630638389,3.0,13,8,1,11.0,2,3,1,2,1,3,9.99611111111111,17.725277777777777,7.729145470771977,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1038,3.0,3.0,4.0,41,1,1,1,3,-0.8473502642393511,0.0,18,8,0,23.0,2,22,13,5,2,3,10.005277777777778,20.261666666666667,10.25634872824632,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
1039,1.0,3.0,3.0,30,26,3,1,2,-0.4425784326872708,9.0,11,8,0,9.0,3,7,0,2,3,3,10.006388888888889,17.061944444444446,7.055688308790718,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1040,4.0,2.0,3.0,26,2,1,1,3,0.015950497753353582,0.0,15,8,2,6.0,3,5,1,4,2,3,10.00388888888889,18.545833333333334,8.54212962962963,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1041,4.0,2.0,4.0,46,10,3,1,1,-0.44215347538380406,4.0,11,8,1,13.0,2,9,3,7,3,3,9.980833333333333,17.924444444444447,7.9436869701026325,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
1042,3.0,4.0,3.0,40,27,2,1,3,0.8012715945599095,4.0,18,8,0,12.0,3,5,0,3,3,3,9.989166666666666,16.590833333333332,6.60159415439536,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1043,2.0,3.0,3.0,34,2,3,1,2,-0.24646063713736518,1.0,14,8,0,10.0,5,10,4,8,2,3,9.978055555555555,17.30027777777778,7.32225011155734,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1044,2.0,2.0,2.0,58,2,4,1,1,-0.8768847968302903,4.0,12,8,1,37.0,3,16,14,14,3,3,9.982777777777779,16.597777777777775,6.614844935296743,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1045,2.0,3.0,4.0,35,8,1,1,3,-0.24582320118216505,0.0,14,8,0,6.0,3,5,0,3,2,3,10.001944444444444,17.365833333333335,7.364076305220883,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1046,3.0,2.0,3.0,47,19,5,1,2,-0.781056924898538,8.0,14,8,1,28.0,3,22,14,10,3,3,10.005,20.49277777777778,10.48775211958947,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1047,2.0,1.0,3.0,40,1,4,1,2,2.8557276781699175,2.0,13,8,1,15.0,3,7,7,7,3,3,9.968333333333334,17.1725,7.204023873270861,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1048,4.0,4.0,2.0,54,27,4,1,1,-0.7164634147715918,4.0,14,8,0,14.0,3,7,1,7,2,3,9.980833333333333,17.04277777777778,7.061931057563588,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1049,1.0,1.0,3.0,31,8,4,1,3,-0.8394885541252163,2.0,18,8,0,9.0,2,3,2,2,3,3,9.971111111111112,17.431944444444447,7.460805443998216,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1050,3.0,1.0,3.0,28,1,2,1,3,-0.4304671495384684,1.0,15,8,0,3.0,6,3,1,2,3,3,9.990833333333333,17.478888888888886,7.4881057563587685,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1051,2.0,4.0,2.0,38,19,3,1,2,-0.006147282026917471,2.0,13,8,2,20.0,3,4,0,3,1,3,9.993055555555555,19.386666666666667,9.393652387327087,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1052,3.0,4.0,3.0,26,8,3,1,1,-0.7372863226414627,1.0,12,8,0,5.0,2,5,1,2,2,3,10.004444444444445,16.153888888888886,6.149453369031683,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1053,1.0,3.0,3.0,58,10,4,1,1,-0.7578967518596,2.0,13,8,1,23.0,3,2,2,2,3,3,9.998333333333333,19.491111111111113,9.492907184292728,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1054,2.0,3.0,1.0,18,2,3,1,3,2.5716437208023946,1.0,24,8,2,0.0,4,0,0,0,3,4,9.982777777777779,17.588055555555556,7.605534359660865,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1055,4.0,1.0,3.0,31,2,3,1,3,-0.9210803563908324,0.0,14,8,1,2.0,2,1,0,0,3,3,9.997222222222222,16.142777777777777,6.145600178491745,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1056,1.0,1.0,3.0,29,8,2,1,1,-0.7755324799534702,4.0,14,8,1,4.0,5,2,2,0,2,3,9.979166666666666,18.63,8.65076863007586,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1057,3.0,3.0,4.0,45,1,4,1,1,2.2406019814017952,4.0,15,8,0,10.0,3,8,5,7,2,3,9.995833333333332,17.17027777777778,7.1745459616242755,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
1058,4.0,2.0,3.0,36,2,3,1,5,-0.8951579608793606,4.0,11,8,0,15.0,5,1,0,0,3,3,9.98361111111111,20.415,10.43138442659527,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1059,1.0,4.0,3.0,43,8,3,1,1,-0.6168109271086387,1.0,23,8,0,7.0,2,7,7,7,3,4,9.978055555555555,16.960277777777776,6.98241744756805,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1060,4.0,4.0,2.0,27,8,4,1,5,-0.9340415541465684,0.0,13,8,0,6.0,2,5,0,2,3,3,9.97638888888889,20.083055555555557,10.106771530566713,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1061,4.0,4.0,4.0,29,6,2,1,1,-0.5073844214659503,1.0,11,8,0,11.0,1,11,3,10,3,3,9.963055555555554,17.615555555555556,7.652430834448907,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
